DATE,IDXX
2015-06-01,111.3
2015-07-01,111.5
2015-08-01,110.7
2015-09-01,111.1
2015-10-01,111.6
2015-11-01,110.9
2015-12-01,111.1
2016-01-01,111.1
2016-02-01,111.5
2016-03-01,111.5
2016-04-01,111.6
2016-05-01,110.8
2016-06-01,111.6
2016-07-01,112.2
2016-08-01,112.3
2016-09-01,112.4
2016-10-01,112.5
2016-11-01,112.5
2016-12-01,112.3
2017-01-01,112.6
2017-02-01,112.8
2017-03-01,112.6
2017-04-01,112.5
2017-05-01,112.4
2017-06-01,112.4
2017-07-01,112.3
2017-08-01,112.3
2017-09-01,112.2
2017-10-01,112.3
2017-11-01,112.2
2017-12-01,112.1
2018-01-01,112.4
2018-02-01,112.3
2018-03-01,112.3
2018-04-01,112.3
2018-05-01,112.1
2018-06-01,112.1
2018-07-01,112.7
2018-08-01,112.8
2018-09-01,112.8
2018-10-01,112.8
2018-11-01,112.8
2018-12-01,112.7
2019-01-01,112.5
2019-02-01,112.9
2019-03-01,113.0
2019-04-01,113.1
2019-05-01,113.0
2019-06-01,112.9
2019-07-01,112.9
2019-08-01,112.8
2019-09-01,112.8
2019-10-01,112.7
2019-11-01,112.6
2019-12-01,112.9
2020-01-01,112.7
2020-02-01,113.7
2020-03-01,113.9
2020-04-01,114.1
