DATE,IR
2015-06-01,126.6
2015-07-01,125.4
2015-08-01,123.2
2015-09-01,121.9
2015-10-01,121.5
2015-11-01,120.8
2015-12-01,119.3
2016-01-01,117.8
2016-02-01,117.2
2016-03-01,117.7
2016-04-01,118.5
2016-05-01,119.9
2016-06-01,120.7
2016-07-01,120.8
2016-08-01,120.5
2016-09-01,120.6
2016-10-01,121.2
2016-11-01,121.1
2016-12-01,121.6
2017-01-01,122.3
2017-02-01,122.7
2017-03-01,122.5
2017-04-01,122.8
2017-05-01,122.7
2017-06-01,122.4
2017-07-01,122.2
2017-08-01,122.9
2017-09-01,123.9
2017-10-01,124.1
2017-11-01,125.3
2017-12-01,125.5
2018-01-01,126.5
2018-02-01,126.8
2018-03-01,126.5
2018-04-01,127.1
2018-05-01,128.2
2018-06-01,128.2
2018-07-01,128.1
2018-08-01,127.6
2018-09-01,127.7
2018-10-01,128.3
2018-11-01,126.2
2018-12-01,124.4
2019-01-01,124.6
2019-02-01,125.9
2019-03-01,126.6
2019-04-01,126.8
2019-05-01,127.0
2019-06-01,125.6
2019-07-01,125.6
2019-08-01,124.9
2019-09-01,125.0
2019-10-01,124.5
2019-11-01,124.7
2019-12-01,125.0
2020-01-01,125.2
2020-02-01,124.3
2020-03-01,121.3
2020-04-01,118.2
