index,id,created_at,date,place,tweet,language,ticker,user_id_str,username,nlikes,nreplies,nretweets,geo,source,compound,bearish,neutral,bullish
432,1367939127753203713_tsla,1.61498E+12,05/03/2021 20:00,,I just sold all my $TSLA shares 😄  https://t.co/FzoN5sSxZm,en,TSLA,14896937,teslaunivrse,72,8,5,,twitter,0.296,0,0.732,0.268
435,1367937071135023110_tsla,1.61498E+12,05/03/2021 20:00,,Always worth a read when it comes from @crowkneecapital   Little different take than that of @StockJabber re: Cathie Wood and ARK investments $TSLA $ARKK $ARKW $ARKQ,en,TSLA,434692661,BettingBruiser,54,0,13,,twitter,0.2263,0,0.927,0.073
436,1367937071135023110_arkk,1.61498E+12,05/03/2021 20:00,,Always worth a read when it comes from @crowkneecapital   Little different take than that of @StockJabber re: Cathie Wood and ARK investments $TSLA $ARKK $ARKW $ARKQ,en,ARKK,434692661,BettingBruiser,54,0,13,,twitter,0.2263,0,0.927,0.073
437,1367937071135023110_arkw,1.61498E+12,05/03/2021 20:00,,Always worth a read when it comes from @crowkneecapital   Little different take than that of @StockJabber re: Cathie Wood and ARK investments $TSLA $ARKK $ARKW $ARKQ,en,ARKW,434692661,BettingBruiser,54,0,13,,twitter,0.2263,0,0.927,0.073
438,1367937071135023110_arkq,1.61498E+12,05/03/2021 20:00,,Always worth a read when it comes from @crowkneecapital   Little different take than that of @StockJabber re: Cathie Wood and ARK investments $TSLA $ARKK $ARKW $ARKQ,en,ARKQ,434692661,BettingBruiser,54,0,13,,twitter,0.2263,0,0.927,0.073
448,1367935340338688001_tsla,1.61498E+12,05/03/2021 20:00,,The boys &amp; I destroyed on $TSLA this morning. Many profits taken as we carefully diagnosed $TSLA levels with the help of @smartertrader,en,TSLA,1.36389E+18,bagchaserpete,26,3,4,,twitter,0.4404,0.113,0.636,0.251
450,1367935241042661377_tsla,1.61498E+12,05/03/2021 20:00,,The more interesting story is what will $TSLA do in the AH's. Usually it drips down in AH's so you can buy and then ride the wave on Monday's.,en,TSLA,9.30774E+17,squawksquare,66,11,0,,twitter,0.4576,0,0.903,0.097
451,1367934604712218629_tsla,1.61498E+12,05/03/2021 20:00,,Elon Musk liked a tweet from Tesla Owners Of Silicon Valley #Tesla $TSLA #SpaceX  https://t.co/mOa0bj3398,en,TSLA,1.34799E+18,EveryElonReply,22,1,1,,twitter,0.4215,0,0.823,0.177
459,1367933666979090433_tsla,1.61498E+12,05/03/2021 20:00,,"LOL, website down:   https://t.co/vrz4Y6PJWC  $TSLA  https://t.co/MXi3M8J4YY",en,TSLA,31263848,stevenmarkryan,107,14,1,,twitter,0.5473,0,0.586,0.414
460,1367932727819960325_tsla,1.61498E+12,05/03/2021 20:00,,I just joined the party:  https://t.co/vrz4Y6PJWC  $TSLA,en,TSLA,31263848,stevenmarkryan,288,36,9,,twitter,0.4019,0,0.649,0.351
467,1367928378037243905_spy,1.61497E+12,05/03/2021 20:00,,"#LosCaciques🏹 February scorecard! No matter the market conditions #Kazonomics always makes sure we have the intel to stay on the right side, catch him live M/W/F 8am EST:   https://t.co/fWVkhs7E5i  https://t.co/7oHqbhw0Yd  https://t.co/FMTjA8mJpY  $spy $qqq $dxy #btc $eth $zm $tsla  https://t.co/fTj8jb67wC",en,SPY,1.17344E+18,DoorMisterdooor,41,3,28,,twitter,0.126,0.053,0.859,0.088
468,1367928378037243905_qqq,1.61497E+12,05/03/2021 20:00,,"#LosCaciques🏹 February scorecard! No matter the market conditions #Kazonomics always makes sure we have the intel to stay on the right side, catch him live M/W/F 8am EST:   https://t.co/fWVkhs7E5i  https://t.co/7oHqbhw0Yd  https://t.co/FMTjA8mJpY  $spy $qqq $dxy #btc $eth $zm $tsla  https://t.co/fTj8jb67wC",en,QQQ,1.17344E+18,DoorMisterdooor,41,3,28,,twitter,0.126,0.053,0.859,0.088
469,1367928378037243905_dxy,1.61497E+12,05/03/2021 20:00,,"#LosCaciques🏹 February scorecard! No matter the market conditions #Kazonomics always makes sure we have the intel to stay on the right side, catch him live M/W/F 8am EST:   https://t.co/fWVkhs7E5i  https://t.co/7oHqbhw0Yd  https://t.co/FMTjA8mJpY  $spy $qqq $dxy #btc $eth $zm $tsla  https://t.co/fTj8jb67wC",en,DXY,1.17344E+18,DoorMisterdooor,41,3,28,,twitter,0.126,0.053,0.859,0.088
470,1367928378037243905_eth,1.61497E+12,05/03/2021 20:00,,"#LosCaciques🏹 February scorecard! No matter the market conditions #Kazonomics always makes sure we have the intel to stay on the right side, catch him live M/W/F 8am EST:   https://t.co/fWVkhs7E5i  https://t.co/7oHqbhw0Yd  https://t.co/FMTjA8mJpY  $spy $qqq $dxy #btc $eth $zm $tsla  https://t.co/fTj8jb67wC",en,ETH,1.17344E+18,DoorMisterdooor,41,3,28,,twitter,0.126,0.053,0.859,0.088
471,1367928378037243905_zm,1.61497E+12,05/03/2021 20:00,,"#LosCaciques🏹 February scorecard! No matter the market conditions #Kazonomics always makes sure we have the intel to stay on the right side, catch him live M/W/F 8am EST:   https://t.co/fWVkhs7E5i  https://t.co/7oHqbhw0Yd  https://t.co/FMTjA8mJpY  $spy $qqq $dxy #btc $eth $zm $tsla  https://t.co/fTj8jb67wC",en,ZM,1.17344E+18,DoorMisterdooor,41,3,28,,twitter,0.126,0.053,0.859,0.088
472,1367928378037243905_tsla,1.61497E+12,05/03/2021 20:00,,"#LosCaciques🏹 February scorecard! No matter the market conditions #Kazonomics always makes sure we have the intel to stay on the right side, catch him live M/W/F 8am EST:   https://t.co/fWVkhs7E5i  https://t.co/7oHqbhw0Yd  https://t.co/FMTjA8mJpY  $spy $qqq $dxy #btc $eth $zm $tsla  https://t.co/fTj8jb67wC",en,TSLA,1.17344E+18,DoorMisterdooor,41,3,28,,twitter,0.126,0.053,0.859,0.088
487,1367926020796416000_tsla,1.61497E+12,05/03/2021 19:00,,"When I tweeted this, I was working on an Options strategy to ensure that I wouldn't lose no matter what happened to $TSLA. Execution is now complete!    Back to focusing on company fundamentals &amp; future.   🙌🙏",en,TSLA,394626603,AlternateJones,28,5,3,,twitter,0.7153,0.029,0.781,0.19
488,1367925327478001667_vper,1.61497E+12,05/03/2021 19:00,,Y’all don’t know how big $VPER will be LA is the 1st city to use its smart air quality monitoring system every cities and states will follow LA and use $VPER this is a step forward from the #COVID19 and VPER is ahead of the game we are a buyout target now @elonmusk $TSLA,en,VPER,1.09573E+18,ClairvoyantINVT,101,9,35,,twitter,0.4019,0,0.95,0.05
490,1367925327478001667_tsla,1.61497E+12,05/03/2021 19:00,,Y’all don’t know how big $VPER will be LA is the 1st city to use its smart air quality monitoring system every cities and states will follow LA and use $VPER this is a step forward from the #COVID19 and VPER is ahead of the game we are a buyout target now @elonmusk $TSLA,en,TSLA,1.09573E+18,ClairvoyantINVT,101,9,35,,twitter,0.4019,0,0.95,0.05
493,1367923212500103169_tsla,1.61497E+12,05/03/2021 19:00,,$TSLA   DROPPED like a BOMB 30% drop  for WHAT??? @elonmusk,en,TSLA,19052568,MadMraket,67,19,3,,twitter,-0.6216,0.436,0.398,0.166
496,1367922342328815616_tsla,1.61497E+12,05/03/2021 19:00,,🔥🔥🔥 Legendary Lotto Friday (+13K 💰). We decimated $TSLA puts in the AM then caught the bottom to go long. Thank you again for helping us navigate these choppy waters. Drinks on me whenever I meet you guys.. have a good weekend bros @eliteoptions2 🍻  https://t.co/4S5Nl5Os4P,en,TSLA,1.35046E+18,YoungMoneyNoah,71,2,3,,twitter,0.765,0,0.84,0.16
516,1367918941729742848_tsla,1.61497E+12,05/03/2021 19:00,,"Covered most of my $TSLA short here (no more puts, just the underlying left). Big move downwards this week. Don't know the future, but for now this was good.  $TSLAQ  https://t.co/GgEotwRc3P",en,TSLA,1.03882E+18,BradMunchen,97,18,0,,twitter,0.5927,0,0.886,0.114
517,1367918941729742848_tslaq,1.61497E+12,05/03/2021 19:00,,"Covered most of my $TSLA short here (no more puts, just the underlying left). Big move downwards this week. Don't know the future, but for now this was good.  $TSLAQ  https://t.co/GgEotwRc3P",en,TSLAQ,1.03882E+18,BradMunchen,97,18,0,,twitter,0.5927,0,0.886,0.114
518,1367918618822971393_tsla,1.61497E+12,05/03/2021 19:00,,Anybody else have this BT candle on $TSLA or is it a ghost?  https://t.co/5AWidD167V,en,TSLA,468126716,jatkinson33,17,12,4,,twitter,-0.3182,0.161,0.839,0
519,1367917702799630345_tsla,1.61497E+12,05/03/2021 19:00,,"Wow, $TSLA now starting doing that $NIO Life thing?! 😳  @FredericLambert  https://t.co/mVANN1bskX",en,TSLA,100253491,_mm85,146,18,17,,twitter,0.6239,0,0.71,0.29
520,1367917702799630345_nio,1.61497E+12,05/03/2021 19:00,,"Wow, $TSLA now starting doing that $NIO Life thing?! 😳  @FredericLambert  https://t.co/mVANN1bskX",en,NIO,100253491,_mm85,146,18,17,,twitter,0.6239,0,0.71,0.29
521,1367916951113187330_tsla,1.61497E+12,05/03/2021 19:00,,Good to know.  $tsla,en,TSLA,1.1617E+18,garyblack00,195,18,4,,twitter,0.4404,0,0.508,0.492
